Lake_Name_Standardized,Date,Station name,Station code,water_bodies,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate-N (mg/L),Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia-N  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,Source_File,Nitrate,COD,Free Ammonia  (mg/L),P/R Ratio,Total Phosphate (mg/L),Ortho Phosphate (mg/L),Any Other,Free Ammonia (mg/L),Orthophosphate (mg/L),Arsenic,Cadmium (Cd),Copper (Cu),Lead (Pb),Total Chromium (T. Cr),Nickel (Ni),Zinc (Zn),Iron (Fe),% Sodium,Unnamed: 36,Unnamed: 37,Free Ammonia,Ammonia  (mg/L),Cadmium,Copper,Lead,Total Chromium,Nickel,Zinc,Iron,COD (mg/L).1,Sodium %,Faecal streptococci,Fecal streptococci,Unnamed: 38,District,RO,Total coliform (MPN/100ml),Total Hardness as CaCO3(mg/L),Calcium Hardness as CaCo3(mg/L),Calcium as Ca+2(mg/L),Magnesium Hardness as CaCo3 (mg/L),Magnesium as Mg+2(mg/L),Ammonia,Ammonia-N (mg/L),Total Hardness as CaCO3 (mg/L),Calcium Carbonate as CaCO3,Magnesium Carbonate as CaCO3,Conductivity (μs/cm),Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Responsible Zonal Lab,Monitoring date,Sampling time,Use of Water in Downstream,Human activities,Major polluting,Visible Effluent,Weather,Depth (mtrs.),Floating matter,Colour,Odour,Flow (m3/Sec),Water Temp. (OC),Unnamed: 64,Unnamed: 56,Unnamed: 57,Unnamed: 58,Classes,Remarks,Unnamed: 48
Osman Sagar (Gandipet),May 2018,"U/s of Musi at Gandipet (Osmansagar lake) (BM-Jan, Apr & Oct)",1172,River Musi,5,7.7,330.0,2,,,NIL,10.0,,,4.0,0,106.0,36.0,20.0,0.6,0.1,118.0,24.0,14.0,12.0,21.0,202.0,167.0,4.0,0.06,0.25,4.0,0.35,26.99,0.84,5.csv,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hussain Sagar,May 2018,Hussain sagar Lake,1391,GHMC Areas Lakes /Tanks/ Cheruvus,0.9,7.7,1588.0,12,,,70,580.0,,,8.0,0,410.0,180.0,122.0,10.0,1.2,440.0,94.4,49.57,98.0,148.0,985.0,783.0,80.0,6.2,0.85,12.0,1.24,41.27,3.06,5.csv,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himayat Sagar,May 2018,"Himayathsagar lake (BM-Jan, Apr & Oct)",1789,HMDA Area Lakes,5.7,7.64,340.0,2,,,NIL,10.0,,,2.0,0,102.0,38.0,28.0,0.3,0.1,114.0,26.0,12.0,8.0,20.0,219.0,169.0,4.0,0.12,0.22,4.0,0.3,26.57,0.81,5.csv,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osman Sagar (Gandipet),February 2022,"Osmansagar Reservior (U/s of Musi at Gandipet), Gandipet (V&M), Rangareddy Dist",1172,Lakes  & Tanks,5.1,7.67,498.0,1.0,,,Less than 1.8,63,,,3.6,5.0,120.0,52.0,5.0,1.5,,,,,32.0,,316.0,,10.0,,0.5,,0.35,,,50.csv,0.3,,0.01,,0.2,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,Less than 1.8,,,Shamshabad,,,130.0,74.0,29.6,56.0,13.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himayat Sagar,February 2022,"Himayathsagar lake, Shamshabad",1789,Lakes  & Tanks,5.1,7.72,539.0,1.2,,,Less than 1.8,70,,,4.9,5.0,120.0,59.0,8.0,1.5,,,,,34.0,,344.0,,12.0,,0.5,,0.4,,,50.csv,0.3,,0.01,,0.2,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,Less than 1.8,,,RR-shamshabad,,,130.0,74.0,29.6,56.0,13.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hussain Sagar,February 2022,"Hussain sagar Lake, Domalguda (V), Hyderabad",1391,Lakes  & Tanks,2.5,7.53,1470.0,4.0,,,84,920,,,9.8,5.0,355.0,184.0,60.0,4.48,,,,,108.0,,926.0,,33.0,,0.5,,0.84,,,50.csv,12.2,,0.03,,4.51,,,,,,,,,,,,,,,,,1.66,,,,,,,,,,7.8,,,Hyderabad,,,370.0,226.0,90.4,144.0,34.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osman Sagar (Gandipet),February 2022,"Pedda Cheruvu, Ibrahimbagh, Gandipet",5123,Lakes  & Tanks,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rangareddy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osman Sagar (Gandipet),March 2022,U/s of Musi at Gandipet (Osmansagar lake),1172,Lakes & Tanks ,5.4,8.25,502.0,1.0,,N.A,Less than 1.8,20,N.A,N.A,8.0,5,115.0,58.0,5.0,1.5,,,,,36.0,N.A,316.0,,10.0,,0.5,N.A,0.33,,,51.csv,0.34,,0.04,N.A,0.2,N.A,,,,,,,,,,,,,,,,0.4,,,,,,,,,,Less than 1.8,,,Shamshabad,,,125.0,72.0,28.8,53.0,12.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himayat Sagar,March 2022,Himayathsagar lake,1789,Lakes & Tanks ,5.2,8.5,555.0,2.1,,N.A,Less than 1.8,12,N.A,N.A,6.0,20,150.0,61.0,8.0,1.5,,,,,36.0,N.A,348.0,,10.0,,0.5,N.A,0.35,,,51.csv,0.32,,0.06,N.A,0.2,N.A,,,,,,,,,,,,,,,,0.4,,,,,,,,,,Less than 1.8,,,RR-shamshabad,,,142.0,82.0,32.8,60.0,14.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hussain Sagar,March 2022,Hussain sagar Lake,1391,Lakes & Tanks ,0.3,7.34,1498.0,6.2,,N.A,63,350,N.A,N.A,24.0,5,380.0,196.0,68.0,4.48,,,,,118.0,N.A,928.0,,30.0,,0.5,N.A,0.87,,,51.csv,10.6,,0.01,N.A,4.24,N.A,,,,,,,,,,,,,,,,0.4,,,,,,,,,,8.2,,,Hyderabad,,,390.0,240.0,96.0,150.0,36.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osman Sagar (Gandipet),March 2022,"Pedda Cheruvu, Ibrahimbagh, Gandipet",5123,Lakes & Tanks ,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rangareddy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osman Sagar (Gandipet),April 2022,U/s of Musi at Gandipet (Osmansagar lake),1172,Lakes  & Tanks,5.8,7.76,474.0,1,,N.A,Less than 1.8,41,,,4.0,5.0,110.0,49.0,8.0,1.5,,120.0,,,30.0,,290.0,,11.0,,0.5,,0.66,,,52.csv,0.52,,0.07,,0.2,N.A,,,,,,,,,,,,,,,,,0.02,0.03,0.1,0.06,0.1,0.07,0.19,,,Less than 1.8,,,Shamshabad,,,,68.0,27.2,52.0,12.64,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himayat Sagar,April 2022,Himayathsagar lake,1789,Lakes  & Tanks,5.8,7.52,520.0,1,,N.A,Less than 1.8,39,,,4.0,5.0,105.0,69.0,12.0,1.5,,116.0,,,32.0,,334.0,,11.0,,0.5,,0.64,,,52.csv,0.56,,0.01,,0.2,N.A,,,,,,,,,,,,,,,,,0.02,0.03,0.1,0.06,0.1,0.03,0.06,,,Less than 1.8,,,RR-shamshabad,,,,72.0,28.8,44.0,10.69,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hussain Sagar,April 2022,Hussain sagar Lake,1391,Lakes  & Tanks,0.3,7.65,1566.0,8,,N.A,280,920,,,21.0,5.0,390.0,193.0,87.0,5.6,,405.0,,,82.0,,970.0,,92.0,,0.5,,1.08,,,52.csv,20.8,,0.05,,2.48,N.A,,,,,,,,,,,,,,,,,0.02,0.03,0.1,0.06,0.1,0.02,0.06,,,26,,,Hyderabad,,,,234.0,93.6,171.0,41.55,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osman Sagar (Gandipet),April 2022,"Pedda Cheruvu, Ibrahimbagh, Gandipet",5123,Lakes  & Tanks,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rangareddy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osman Sagar (Gandipet),May 2022,U/s of Musi at Gandipet (Osmansagar lake),1172,Lakes & Tanks ,6.3,8.03,573.0,4.0,,0.02,,,,,9.0,24.0,184.0,54.0,18.0,,,,,,17.0,23.0,339.0,144,30.0,,,5.8,1.64,,0.73,53.csv,6.32,,0.06,,,0.25,,,,,,,,,,,,20.55,,,,,,,,,,,,,,,,,Shamshabad,,,,,46.0,,17.0,,1.12,185.0,115.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himayat Sagar,May 2022,Himayathsagar lake,1789,Lakes & Tanks ,6.3,7.96,563.0,6.0,,0.02,,,,,18.2,15.0,176.0,63.0,30.0,,,,,,23.0,40.0,324.0,183,10.0,,,5.5,1.19,,1.27,53.csv,8.0,,0.08,,,0.18,,,,,,,,,,,,30.98,,,,,,,,,,,,,,,,,RR-shamshabad,,,,,24.0,,30.4,,1.68,185.1,60.0,125.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hussain Sagar,May 2022,Hussain sagar Lake,1391,Lakes & Tanks ,4.7,7.62,1447.0,20.0,,0.02,,,,,13.0,16.0,276.0,179.0,106.0,,,,,,65.0,130.0,793.0,551,97.0,,,23.0,0.73,,3.2,53.csv,18.6,,0.05,,,6.4,,,,,,,,,,,,45.25,,,,,,,,,,,,,,,,,Hyderabad,,,,,70.0,,33.0,,2.2,310.8,175.0,135.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osman Sagar (Gandipet),May 2022,"Pedda Cheruvu, Ibrahimbagh, Gandipet",5123,Lakes & Tanks ,station code : 4228 & 5123 are same,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rangareddy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osman Sagar (Gandipet),June 2022,U/s of Musi at Gandipet (Osmansagar lake),1172,Lakes & Tanks ,5.9,8.19,456.0,1.2,,,Less than 1.8,26,N.A,N.A,7.0,5,120,56.0,8.0,1.5,,,,,28.0,,282.0,,10.0,,0.5,,0.3,,,54.csv,1.1,,0.04,N.A,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,Less than 1.8,,,Shamshabad,,,,,31.2,,11.0,,0.4,125.0,78.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himayat Sagar,June 2022,Himayathsagar lake,1789,Lakes & Tanks ,6.1,8.35,568.0,1.0,,,Less than 1.8,26,N.A,N.A,6.0,10,135,64.0,12.0,1.5,,,,,30.0,,352.0,,10.0,,0.5,,0.32,,,54.csv,1.0,,0.05,N.A,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,Less than 1.8,,,RR-shamshabad,,,,,37.6,,12.39,,0.4,145.0,94.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hussain Sagar,June 2022,Hussain sagar Lake,1391,Lakes & Tanks ,0.3,7.73,1401.0,12.0,,,430,1600,N.A,N.A,6.0,5,320,204.0,129.0,3.36,,,,,126.0,,882.0,,10.0,,0.5,,0.89,,,54.csv,8.9,,0.02,N.A,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,Hyderabad,,,,,86.0,,32.8,,0.47,350.0,215.0,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osman Sagar (Gandipet),June 2022,"Pedda Cheruvu, Ibrahimbagh, Gandipet",5123,Lakes & Tanks ,station code : 4228 & 5123 are same,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rangareddy,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osman Sagar (Gandipet),July 2022,U/s of Musi at Gandipet (Osmansagar lake),1172,Lakes & Tanks ,6.2,8.07,418.0,1.1,,,Less than 1.8,22.0,N.A,N.A,10.2,5.0,100.0,51.0,8.0,1.5,,,,,29.0,,258.0,,10.0,,0.5,,0.2,,,55.csv,1.2,,0.02,N.A,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,Less than 1.8,,,Shamshabad,,,,,24.0,,10.94,,0.4,105.0,60.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himayat Sagar,July 2022,Himayathsagar lake,1789,Lakes & Tanks ,6.2,7.98,507.0,1.1,,,Less than 1.8,17.0,N.A,N.A,11.5,5.0,105.0,70.0,8.0,1.5,,,,,41.0,,304.0,,10.0,,0.5,,0.2,,,55.csv,1.1,,0.02,N.A,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,Less than 1.8,,,RR-shamshabad,,,,,26.0,,12.15,,0.4,115.0,65.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hussain Sagar,July 2022,Hussain sagar Lake,1391,Lakes & Tanks ,2.2,7.64,1105.0,5.2,,,280,540.0,N.A,N.A,11.5,5.0,230.0,162.0,48.0,4.48,,,,,98.0,,648.0,,16.0,,0.5,,0.98,,,55.csv,4.8,,0.01,N.A,3.42,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,,,Hyderabad,,,,,58.0,,24.3,,0.56,245.0,145.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osman Sagar (Gandipet),July 2022,"Pedda Cheruvu, Ibrahimbagh, Gandipet",5123,Lakes & Tanks ,station code : 4228 & 5123 are same,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rangareddy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osman Sagar (Gandipet),August 2022,U/s of Musi at Gandipet (Osmansagar lake),1172,Lakes & Tanks ,6.4,7.93,409.0,1.0,,,Less than 1.8,42.0,N.A,N.A,8.0,5.0,90.0,58.0,8.0,1.5,,,,,19.0,,248.0,,10.0,,0.5,,0.48,,,56.csv,0.42,,0.02,N.A,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,Less than 1.8,,,Shamshabad,,,,,22.4,,8.26,,0.4,90.0,56.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himayat Sagar,August 2022,Himayathsagar lake,1789,Lakes & Tanks ,6.3,7.78,441.0,1.0,,,Less than 1.8,43.0,N.A,N.A,8.0,5.0,90.0,52.0,8.0,1.5,,,,,28.0,,264.0,,10.0,,0.5,,0.39,,,56.csv,0.96,,0.01,N.A,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,Less than 1.8,,,RR-shamshabad,,,,,22.0,,9.72,,0.4,95.0,55.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hussain Sagar,August 2022,Hussain sagar Lake,1391,Lakes & Tanks ,1,7.57,1053.0,4.0,,,350,1600.0,N.A,N.A,12.0,5.0,255.0,135.0,43.0,4.48,,,,,84.0,,652.0,,14.0,,0.5,,1.16,,,56.csv,6.8,,0.02,N.A,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,Hyderabad,,,,,64.0,,26.73,,0.81,270.0,160.0,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osman Sagar (Gandipet),August 2022,"Pedda Cheruvu, Ibrahimbagh, Gandipet",5123,Lakes & Tanks ,station code : 4228 & 5123 are same,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rangareddy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osman Sagar (Gandipet),September 2022,U/s of Musi at Gandipet (Osmansagar lake),1172,Lakes & Tanks ,6.3,8.03,380.0,1.0,,,Less than 1.8,42.0,N.A,N.A,8.0,5.0,88.0,42.0,12.0,1.5,,,,,21.0,,234.0,,10.0,,0.5,,0.62,,,57.csv,0.7,,0.02,N.A,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,Less than 1.8,,,Shamshabad,,,,,22.0,,8.5,,0.4,90.0,55.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himayat Sagar,September 2022,Himayathsagar lake,1789,Lakes & Tanks ,6.4,8.02,465.0,1.0,,,Less than 1.8,43.0,N.A,N.A,8.0,5.0,128.0,40.0,8.0,1.5,,,,,25.0,,278.0,,10.0,,0.5,,0.6,,,57.csv,0.88,,0.02,N.A,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,Less than 1.8,,,RR-shamshabad,,,,,30.0,,8.5,,0.4,110.0,75.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hussain Sagar,September 2022,Hussain sagar Lake,1391,Lakes & Tanks ,1,7.55,1235.0,5.8,,,170,1600.0,N.A,N.A,7.2,5.0,295.0,149.0,121.0,5.6,,,,,90.0,,754.0,,16.0,,0.5,,1.0,,,57.csv,6.1,,0.04,N.A,2.46,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,Hyderabad,,,,,78.4,,27.7,,1.58,310.0,196.0,114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osman Sagar (Gandipet),September 2022,"Pedda Cheruvu, Ibrahimbagh, Gandipet",5123,Lakes & Tanks ,station code : 4228 & 5123 are same,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rangareddy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osman Sagar (Gandipet),October 2022,U/s of Musi at Gandipet (Osmansagar lake),1172,Lakes & Tanks ,6.4,8.28,460.0,1.0,,,Less than 1.8,40,N.A,N.A,7.2,10.0,110.0,48.0,8.0,1.5,,,,,25.0,,278.0,,10.0,,0.5,,0.67,,,58.csv,1.2,,0.05,N.A,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,Less than 1.8,,,Shamshabad,,,,,48.8,,15.31,,0.4,185.0,122.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himayat Sagar,October 2022,Himayathsagar lake,1789,Lakes & Tanks ,6.4,8.47,522.0,1.0,,,Less than 1.8,38,N.A,N.A,6.6,10.0,122.0,57.0,8.0,1.5,,,,,28.0,,314.0,,10.0,,0.5,,0.69,,,58.csv,1.0,,0.07,N.A,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,Less than 1.8,,,RR-shamshabad,,,,,56.0,,19.44,,0.4,220.0,140.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hussain Sagar,October 2022,Hussain sagar Lake,1391,Lakes & Tanks ,3.8,7.52,994.0,3.0,,,32,540,N.A,N.A,6.9,5.0,235.0,115.0,59.0,5.6,,,,,70.0,,616.0,,14.0,,0.5,,0.76,,,58.csv,3.8,,0.03,N.A,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,Hyderabad,,,,,62.0,,23.09,,1.38,250.0,155.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osman Sagar (Gandipet),October 2022,"Pedda Cheruvu, Ibrahimbagh, Gandipet",5123,Lakes & Tanks ,station code : 4228 & 5123 are same,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rangareddy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osman Sagar (Gandipet),November 2022,U/s of Musi at Gandipet (Osmansagar lake),1172,Lakes & Tanks ,6.2,7.93,450.0,1.0,,,Less than 1.8,33.0,N.A,N.A,5.2,5.0,90.0,56.0,8.0,1.5,,,,,32.0,,,,10.0,,0.5,,,,,59.csv,1.72,,0.02,N.A,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,Less than 1.8,,,Shamshabad,,,,,24.0,,9.72,,0.4,100.0,60.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himayat Sagar,November 2022,Himayathsagar lake,1789,Lakes & Tanks ,6.4,7.97,452.0,1.0,,,Less than 1.8,33.0,N.A,N.A,7.0,5.0,90.0,63.0,8.0,1.5,,,,,23.0,,,,10.0,,0.5,,,,,59.csv,1.52,,0.02,N.A,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,Less than 1.8,,,RR-shamshabad,,,,,24.0,,8.5,,0.4,95.0,60.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hussain Sagar,November 2022,Hussain sagar Lake,1391,Lakes & Tanks ,3,7.31,1125.0,4.0,,,39,540.0,N.A,N.A,9.2,5.0,245.0,135.0,87.0,5.6,,,,,84.0,,,,14.0,,0.5,,,,,59.csv,4.32,,0.04,N.A,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,Hyderabad,,,,,70.0,,21.87,,3.12,265.0,175.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osman Sagar (Gandipet),November 2022,"Pedda Cheruvu, Ibrahimbagh, Gandipet",5123,Lakes & Tanks ,station code : 4228 & 5123 are same,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rangareddy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osman Sagar (Gandipet),June 2018,"U/s of Musi at Gandipet (Osmansagar lake) (BM-Jan, Apr & Oct)",1172,River Musi,5.9,8.32,298.0,3,,,NIL,30.0,,,10.0,12.0,85.0,36.0,20.0,BDL,Less than 0.1,80.0,16.8,9.23,11.0,28.0,231.0,181.0,4.0,0.28,0.14,6.0,0.82,40.97,0.96,6.csv,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hussain Sagar,June 2018,Hussain sagar Lake,1391,GHMC Areas Lakes /Tanks/ Cheruvus,1.8,7.77,1553.0,13,,,20,260.0,,,30.0,0.0,395.0,189.0,130.0,7,,322.0,68.0,36.94,60.0,177.0,1194.0,959.0,30.0,4.8,0.32,24.0,2.02,52.17,3.03,6.csv,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himayat Sagar,June 2018,"Himayathsagar lake (BM-Jan, Apr & Oct)",1789,HMDA Area Lakes,5,8.44,302.0,3,,,NIL,32.0,,,12.0,14.0,85.0,32.0,37.0,BDL,,80.0,16.4,9.48,8.0,24.0,240.0,185.0,6.0,0.36,0.14,6.5,0.94,37.13,0.82,6.csv,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osman Sagar (Gandipet),December 2022,U/s of Musi at Gandipet (Osmansagar lake),1172,Lakes & Tanks ,6.2,8.28,437.0,1.0,,,Less than 1.8,21,,,2.8,15.0,105.0,58.0,6.0,1.5,,,,,36.0,,270.0,,10.0,,0.5,,0.54,,,60.csv,1.1,,0.04,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,Less than 1.8,,,Shamshabad,,,,,27.6,,11.18,,0.4,115.0,69.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himayat Sagar,December 2022,Himayathsagar lake,1789,Lakes & Tanks ,6,8.04,516.0,1.2,,,Less than 1.8,31,,,9.1,5.0,110.0,64.0,20.0,1.5,,,,,37.0,,326.0,,13.0,,0.5,,0.62,,,60.csv,1.06,,0.03,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,Less than 1.8,,,RR-shamshabad,,,,,32.4,,13.12,,0.4,135.0,81.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hussain Sagar,December 2022,Hussain sagar Lake,1391,Lakes & Tanks ,2.2,7.68,1165.0,4.0,,,41,540,,,14.7,5.0,235.0,142.0,47.0,5.6,,,,,96.0,,722.0,,21.0,,0.5,,0.98,,,60.csv,4.8,,0.09,,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,Hyderabad,,,,,70.0,,29.16,,3.12,295.0,175.0,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osman Sagar (Gandipet),December 2022,"Pedda Cheruvu, Ibrahimbagh, Gandipet",5123,Lakes & Tanks ,station code : 4228 & 5123 are same,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rangareddy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osman Sagar (Gandipet),January 2023,"Osmansagar Reservior (U/s of Musi at Gandipet), Gandipet (V&M), Rangareddy Dist",1172,Lakes  & Tanks,6,8.21,,2.0,,,Less than 1.8,24.0,,,1.0,20,120.0,66.0,16.0,1.5,,,,,36.0,,296.0,,10.0,,0.5,,0.42,,,61.csv,1.1,,0.04,,0.2,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,Less than 1.8,,,Shamshabad,,,125.0,65.0,26.0,60.0,14.58,,,,,,470.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Himayat Sagar,January 2023,"Himayathsagar lake, Shamshabad",1789,Lakes  & Tanks,6,7.84,,1.4,,,Less than 1.8,34.0,,,4.6,5,125.0,66.0,8.0,1.5,,,,,43.0,,344.0,,10.0,,0.5,,0.48,,,61.csv,1.2,,0.02,,0.24,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,Less than 1.8,,,RR-shamshabad,,,130.0,75.0,30.0,55.0,13.37,,,,,,564.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Hussain Sagar,January 2023,"Hussain sagar Lake, Domalguda (V), Hyderabad",1391,Lakes  & Tanks,1.1,7.47,,5.6,,,48,540.0,,,10.8,5,295.0,157.0,51.0,7.0,,,,,99.0,,822.0,,22.0,,0.5,,0.76,,,61.csv,3.8,,0.06,,0.98,,,,,,,,,,,,,,,,,3.62,,,,,,,,,,5.6,,,Hyderabad,,,305.0,160.0,64.0,145.0,35.23,,,,,,1327.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Osman Sagar (Gandipet),January 2023,"Pedda Cheruvu, Ibrahimbagh, Gandipet",5123,Lakes  & Tanks,station code : 4228 & 5123 are same,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rangareddy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
